Year,State,Index,M,L,U,Tag,N,Error,Std
2018,Haryana,PrDetPub,0.7652095881243536,0.7619699458538662,0.7684492303948409,All,65748,0.0016530618651297722,108.68551150855227
2019,Haryana,PrDetPub,0.6955822533345947,0.6922577942349014,0.698893198372907,All,73997,0.0016916175167094529,125.17462138394939
2020,Haryana,PrDetPub,0.7172027972027972,0.7137218337218337,0.7206837606837607,All,64350,0.0017753511527075579,114.24384667673135
2021,Haryana,PrDetPub,0.6621165843984772,0.6585846011319717,0.6656485676649827,All,69083,0.0017995548003067552,124.31864426959157
2019,Haryana,PrevUt,0.0031209409669093412,0.0017822423849643552,0.004536616979909268,All,6172,7.099880758072388e-4,4.382046403882278
2019,Haryana,PrevAsym,0.002019432390353103,9.721322099805574e-4,0.0032404406999351912,All,6172,5.714296126376986e-4,3.5268635691998758
2019,Haryana,PrevSym,9.179238137968649e-4,3.240440699935191e-4,0.0017822423849643552,All,6172,3.8547031933508264e-4,2.37912281093613
2019,Haryana,PrevExCS,1.83584762759373e-4,-0,6.480881399870382e-4,All,6172,1.7245090944633597e-4,1.0643670131027856
2019,Haryana,PrAsym,0.6470588235294118,0.45,0.85,All,20,0.10685824779167616,2.1371649558335233
2019,Haryana,PrSym,0.29411764705882354,0.1,0.5,All,20,0.10188534162169867,2.0377068324339733
2019,Haryana,PrExCS,0.058823529411764705,-0,0.2,All,20,0.052613364176465637,1.0522672835293128
2019,Haryana,TBLikeUt,0.03676633444075304,0.03145071982281285,0.04230343300110742,All,4515,0.0028006711382244907,12.645030189083576
2019,Haryana,PrCSIPub,0.6666666666666666,0.6548930654569022,0.6783862605314323,All,6172,0.006000408041620716,37.03451843288306
2019,Haryana,PrTxiPub,1,1,1,All,2,0,0
2018,Haryana,TxI,0.9020890063803144,0.8994852020432907,0.9046729343483533,Pub,50311,0.0013249788601735536,66.66101143419165
2018,Haryana,TxI,0.8120748850165187,0.8059208395413616,0.8182289304916759,Pri,15437,0.003144191576739506,48.536885370127756
2019,Haryana,TxI,0.9842046977909891,0.9831167064949194,0.9852732606710575,Pub,51471,5.495729943645808e-4,28.28707159293934
2019,Haryana,TxI,0.8246914676373968,0.8197194353191867,0.8296634999556068,Pri,22526,0.002533408584040941,57.06756176410624
2020,Haryana,TxI,0.8891272317559369,0.8862454498179927,0.8919873461605131,Pub,46152,0.00146150107265712,67.4511975052714
2020,Haryana,TxI,0.9431805692933289,0.9397736014946697,0.9465325859984614,Pri,18198,0.0017160661756092843,31.228972263737756
2021,Haryana,TxI,0,0,0,Pub,45741,0,0
2021,Haryana,TxI,0,0,0,Pri,23342,0,0
2018,Haryana,TxSucc,0.8435237329042639,0.839702333065165,0.8473451327433629,Pub,34804,0.0019474141065613658,67.77780056476178
2018,Haryana,TxSucc,0.533520793251443,0.5216812194760989,0.545360367026787,Pri,6757,0.006068968181218062,41.008018000490445
2018,Haryana,TxDie,0.04332835306286634,0.04120216067118722,0.04548327778416274,Pub,34804,0.0010913221306065313,37.98237543362971
2018,Haryana,TxDie,0.005771792215480243,0.003995856149178629,0.007695722953973657,Pri,6757,9.215553503406818e-4,6.226949502251987
2019,Haryana,TxSucc,0.8528814682852053,0.8497120603223267,0.8560301611633592,Pub,48274,0.0016122091694936987,77.82778544813881
2019,Haryana,TxSucc,0.722809832956452,0.7152965205339558,0.7303231453789482,Pri,13709,0.003822944981694072,52.40875275404403
2019,Haryana,TxDie,0.04161660521191532,0.03983510792559142,0.043398102498239215,Pub,48274,9.089632452335699e-4,43.879291700405354
2019,Haryana,TxDie,0.020059814720256766,0.017725581734626888,0.022466992486687577,Pri,13709,0.0011974581777698522,16.415954159046905
2020,Haryana,TxSucc,0.81788229947739155,0.814587593728698,0.8211770052260849,Pub,52812,0.0016794039736055936,88.69268265405861
2020,Haryana,TxSucc,0.6987933326516004,0.6923509561304837,0.705235709172717,Pri,19558,0.0032805332648134684,64.16066959322181
2020,Haryana,TxDie,0.04125956222070742,0.03957433916534121,0.04296372036658335,Pub,52812,8.654590491694401e-4,45.70662330473647
2020,Haryana,TxDie,0.03221188260558339,0.02975764393087228,0.03471725125268432,Pri,19558,0.0012625133400347083,24.692235904398824
2021,Haryana,TxSucc,0.7975330592288032,0.7938215357261919,0.8012445827314146,Pub,44995,0.0018943895071967666,85.23805587631851
2021,Haryana,TxSucc,0.7549470650185688,0.7486835541267114,0.7612105759104263,Pri,18041,0.003202269666162232,57.77214704723283
2021,Haryana,TxDie,0.0425825091676853,0.040715635070563395,0.0444493832648072,Pub,44995,9.518843241989086e-4,42.83003516732989
2021,Haryana,TxDie,0.04001995454797406,0.03719306025164902,0.042902278144227035,Pri,18041,0.0014592815617476033,26.32689865548851
2019,Haryana,DrugTime,0.0013333333333333333,0.0010666666666666667,0.0017916666666666669,All,28970000,1.8494897959183678e-4,5357.971938775511
