Year,State,Index,M,L,U,Tag,N,Error,Std
2018,Manipur,PrDetPub,0.7348821318756406,0.7188247352237787,0.7509395285275026,All,2927,0.00815862519412856,23.880295943214296
2019,Manipur,PrDetPub,0.7806502154328241,0.7645906776341559,0.7967097532314924,All,2553,0.008189765009551632,20.908470069385316
2020,Manipur,PrDetPub,0.8840852130325815,0.868421052631579,0.899749373433584,All,1596,0.008013090368215986,12.788892227672713
2021,Manipur,PrDetPub,0.6977133296151701,0.6765197992191857,0.7189068600111544,All,1793,0.010845706902836892,19.446352476786547
2019,Manipur,PrevUt,0.0015573518254363352,0.0010532582314420479,0.0021065164628840958,All,21837,2.6684461486644847e-4,5.827085854838635
2019,Manipur,PrevAsym,9.344110952618012e-4,5.49526033795851e-4,0.0013738150844896278,All,21837,2.067614202192844e-4,4.515049133328514
2019,Manipur,PrevSym,3.11470365087267e-4,9.158767229930851e-5,5.49526033795851e-4,All,21837,1.1941097198646515e-4,2.6075773952684393
2019,Manipur,PrevExCS,3.11470365087267e-4,9.158767229930851e-5,5.49526033795851e-4,All,21837,1.1941097198646515e-4,2.6075773952684393
2019,Manipur,PrAsym,0.6,0.42857142857142855,0.7714285714285715,All,35,0.08280786712108251,2.898275349237888
2019,Manipur,PrSym,0.2,0.08571428571428572,0.34285714285714286,All,35,0.06761234037828133,2.3664319132398464
2019,Manipur,PrExCS,0.2,0.08571428571428572,0.34285714285714286,All,35,0.06761234037828133,2.3664319132398464
2019,Manipur,TBLikeUt,0.026165884194053208,0.023724569640062598,0.0286697965571205,All,15975,0.0012629604959368788,20.17579392259164
2019,Manipur,PrCSIPub,0.8562091503267973,0.8515363832028209,0.8608325319412007,All,21837,0.002374428357593698,51.850392044773585
2019,Manipur,PrTxiPub,1,1,1,All,10,0,0
2018,Manipur,TxI,0.9697814969781497,0.9623430962343096,0.9767549976754998,Pub,2151,0.0036910779317140363,7.939508631116892
2018,Manipur,TxI,0.7074742268041238,0.6752577319587629,0.7396907216494846,Pri,776,0.01633076460842897,12.672673336140882
2019,Manipur,TxI,1.088309081786252,NA,NA,Pub,1993,NA,NA
2019,Manipur,TxI,0.6482142857142857,0.6089285714285714,0.6875,Pri,560,0.02017922046093651,11.300363458124446
2020,Manipur,TxI,0.9482636428065202,0.9362154500354358,0.959603118355776,Pub,1411,0.005896563314440948,8.320050836676177
2020,Manipur,TxI,0.7891891891891892,0.7297297297297297,0.8486486486486486,Pri,185,0.0299882511098524,5.547826455322694
2021,Manipur,TxI,0,0,0,Pub,1251,0,0
2021,Manipur,TxI,0,0,0,Pri,542,0,0
2018,Manipur,TxSucc,0.6935679611650486,0.6711165048543689,0.7154126213592233,Pub,1648,0.011356198972517249,18.715015906708427
2018,Manipur,TxSucc,0.4363312555654497,0.40694568121104185,0.4657168299198575,Pri,1123,0.014798928115203957,16.619196273374044
2018,Manipur,TxDie,0.02487864077669903,0.017597087378640776,0.032766990291262135,Pub,1648,0.003836754893493268,6.322972064476906
2018,Manipur,TxDie,0.01157613535173642,0.005342831700801425,0.017809439002671415,Pri,1123,0.0031920047662049697,3.584621352448181
2019,Manipur,TxSucc,0.798372513562387,0.7816455696202531,0.8150994575045208,Pub,2212,0.008530708361525181,18.869926895693702
2019,Manipur,TxSucc,0.7923076923076923,0.76,0.823076923076923,Pri,650,0.015911109472399924,10.342221157059951
2019,Manipur,TxDie,0.02802893309222423,0.021247739602169982,0.0352622061482821,Pub,2212,0.0035094365169263684,7.762873575441127
2019,Manipur,TxDie,0.015384615384615385,0.006153846153846154,0.026153846153846153,Pri,650,0.0048274740957091455,3.1378581622109447
2020,Manipur,TxSucc,0.6946666666666667,0.6755555555555556,0.7137777777777777,Pub,2250,0.009709214154923809,21.84573184857857
2020,Manipur,TxSucc,0.6380697050938338,0.5898123324396782,0.6863270777479893,Pri,373,0.024882391274493737,9.281131945386164
2020,Manipur,TxDie,0.03111111111111111,0.024,0.03866666666666667,Pub,2250,0.0036601888158061657,8.235424835563872
2020,Manipur,TxDie,0.010723860589812333,0.002680965147453083,0.021447721179624665,Pri,373,0.005333102503795097,1.9892472339155711
2021,Manipur,TxSucc,0.8161499639509733,0.7952415284787311,0.8363374188896899,Pub,1387,0.01040108419747247,14.426303781894315
2021,Manipur,TxSucc,0.6384180790960452,0.5649717514124294,0.7062146892655368,Pri,177,0.03611347741122216,6.392085501786322
2021,Manipur,TxDie,0.03460706560922855,0.025234318673395817,0.044700793078586876,Pub,1387,0.0049079057671120325,6.807265298984389
2021,Manipur,TxDie,0.03954802259887006,0.011299435028248588,0.06779661016949153,Pri,177,0.014649188964918269,2.5929064467905336
2019,Manipur,DrugTime,7.316666666666668e-4,5.716666666666667e-4,9.833333333333335e-4,All,3080000,1.0501700680272111e-4,323.452380952381
