Year,State,Index,M,L,U,Tag,N,Error,Std
2018,Rajasthan,PrDetPub,0.7115778432645722,0.7093551770640827,0.7137942660206783,All,160168,0.0011319771025635574,181.30650856339986
2019,Rajasthan,PrDetPub,0.7011380109349497,0.698992112682487,0.7032782020112089,All,175218,0.0010935728964947967,191.6136557780253
2020,Rajasthan,PrDetPub,0.7072190278191718,0.7048129275189544,0.709625128119389,All,137567,0.0012268494130735755,168.77399320829255
2021,Rajasthan,PrDetPub,0.6903065840174234,0.6879611325180097,0.692652035516837,All,149225,0.0011969229664295679,178.61082966545226
2019,Rajasthan,PrevUt,0.0024738946063701268,0.0018248175182481751,0.0031934306569343066,All,19728,3.536805703682014e-4,6.977410292223877
2019,Rajasthan,PrevAsym,0.001145321577023207,7.096512570965125e-4,0.0016220600162206002,All,19728,2.408093501545946e-4,4.750686859849842
2019,Rajasthan,PrevSym,4.123157677283544e-4,1.5206812652068127e-4,7.096512570965125e-4,All,19728,1.445386154852214e-4,2.851457806292448
2019,Rajasthan,PrevExCS,9.162572616185654e-4,5.068937550689375e-4,0.0013686131386861315,All,19728,2.1541112616813073e-4,4.249630697044883
2019,Rajasthan,PrAsym,0.46296296296296297,0.32653061224489793,0.6122448979591837,All,49,0.07123233871871038,3.490384597216808
2019,Rajasthan,PrSym,0.16666666666666666,0.061224489795918366,0.2857142857142857,All,49,0.05323971374999499,2.6087459737497545
2019,Rajasthan,PrExCS,0.37037037037037035,0.24489795918367346,0.5102040816326531,All,49,0.06898626883812327,3.38032717306804
2019,Rajasthan,TBLikeUt,0.0586890243902439,0.054878048780487805,0.06256929046563194,All,14432,0.0019565085325429416,28.236331141659736
2019,Rajasthan,PrCSIPub,0.5868852459016394,0.5799878345498783,0.5937753446877534,All,19728,0.0035056650512523243,69.15976013110586
2019,Rajasthan,PrTxiPub,0.5625,0.3333333333333333,0.8,All,15,0.128086884574495,1.9213032686174247
2018,Rajasthan,TxI,0.855885656126066,0.8538412943529989,0.8579212438142702,Pub,113972,0.0010403090910788095,118.56610772843408
2018,Rajasthan,TxI,0.8903368256991947,0.8874794354489566,0.8931725690535978,Pri,46196,0.0014538024234202061,67.15985675231984
2019,Rajasthan,TxI,0.8862045387946472,0.8844219060332759,0.8879790316803959,Pub,122852,9.060211577802356e-4,111.30651127561751
2019,Rajasthan,TxI,0.9563266241454379,0.9545697590039338,0.9580643929267082,Pri,52366,8.930726804199503e-4,46.766643982871116
2020,Rajasthan,TxI,0.909857128173502,0.9080583821564395,0.9116558741905643,Pub,97290,9.181596312700097e-4,89.32775052625924
2020,Rajasthan,TxI,0.9651910519651414,0.9633786031730268,0.9669786726916106,Pri,40277,9.13321193089829e-4,36.78583769407904
2021,Rajasthan,TxI,0,0,0,Pub,103011,0,0
2021,Rajasthan,TxI,0,0,0,Pri,46214,0,0
2018,Rajasthan,TxSucc,0.8451100565187323,0.8426537571840793,0.8475544320702072,Pub,83866,0.0012493245683795953,104.77585425172315
2018,Rajasthan,TxSucc,0.3763968267508317,0.3702124029685234,0.3826239017316387,Pri,23446,0.003164045750943504,74.18421667662139
2018,Rajasthan,TxDie,0.035103617675816184,0.033863544225311806,0.036355614909498485,Pub,83866,6.35511351184349e-4,53.297794978426616
2018,Rajasthan,TxDie,0.003625351872387614,0.0028576302994114135,0.004393073445363814,Pri,23446,3.9251118470663585e-4,9.202817236631784
2019,Rajasthan,TxSucc,0.8203969795828598,0.8181151717312415,0.8226696235475239,Pub,109124,0.0011620068974139803,126.80284067340318
2019,Rajasthan,TxSucc,0.6393385993597863,0.6348248624001105,0.643852336319462,Pri,43423,0.002304386821087546,100.06338893208451
2019,Rajasthan,TxDie,0.03482277042630402,0.03374143176569774,0.035913272973864596,Pub,109124,5.549770896953306e-4,60.56131993591326
2019,Rajasthan,TxDie,0.008705064136517515,0.007852981139027704,0.00958017640420975,Pri,43423,4.4578712277329875e-4,19.35741423218495
2020,Rajasthan,TxSucc,0.8190178030658466,0.8168084144437715,0.8212186612299215,Pub,117227,0.0011244775092559105,131.81912497754263
2020,Rajasthan,TxSucc,0.7681053682512864,0.7644766146993318,0.771734121803241,Pri,52084,0.0018492838740967073,96.3181012984529
2020,Rajasthan,TxDie,0.03314082933112679,0.03211717437109198,0.03417301474916188,Pub,117227,5.228167235313796e-4,61.28823604941304
2020,Rajasthan,TxDie,0.016934183242454496,0.015839797250595193,0.018047768988556947,Pri,52084,5.653550292040049e-4,29.44595134106139
2021,Rajasthan,TxSucc,0.8221565288176258,0.8197037370264452,0.8246093206088065,Pub,93363,0.001251436503889436,116.8378663126294
2021,Rajasthan,TxSucc,0.8283163328927351,0.8246252836870589,0.8320073820984114,Pri,40097,0.001883244304863432,75.51244689210904
2021,Rajasthan,TxDie,0.035635101699816846,0.034446193888371196,0.03682400951126249,Pub,93363,6.06697631151599e-4,56.643110937206735
2021,Rajasthan,TxDie,0.03214704341970721,0.030426216425168965,0.03389280993590543,Pri,40097,8.808851093816579e-4,35.32085023087634
2019,Rajasthan,DrugTime,0.001425,0.0011333333333333334,0.0019083333333333333,All,78660000,1.9770408163265302e-4,15551.403061224486
