Year,State,Index,M,L,U,Tag,N,Error,Std
2000,India,Inc,0.0034100000000000003,0.00117,0.00683,All,1059633675,0.0014438775510204082,1529981.2756377552
2000,India,Mor,6.7e-4,5.700000000000001e-4,7.9e-4,All,1059633675,5.6122448979591816e-5,59469.23686224488
2001,India,Inc,0.0034000000000000002,0.00117,0.0068000000000000005,All,1078970907,0.0014362244897959185,1549644.4404107144
2001,India,Mor,6.500000000000001e-4,5.600000000000001e-4,7.5e-4,All,1078970907,4.8469387755102034e-5,52297.059267857134
2002,India,Inc,0.0033900000000000002,0.00117,0.00676,All,1098313038,0.0014260204081632654,1566216.806739796
2002,India,Mor,6.3e-4,5.4e-4,7.2e-4,All,1098313038,4.591836734693879e-5,50432.741540816336
2003,India,Inc,0.00337,0.00117,0.0067,All,1117415124,0.0014107142857142858,1576353.4785
2003,India,Mor,6.000000000000001e-4,5.200000000000001e-4,6.900000000000001e-4,All,1117415124,4.336734693877551e-5,48459.32935714286
2004,India,Inc,0.00334,0.00117,0.006600000000000001,All,1136264583,0.0013852040816326532,1573958.3381862247
2004,India,Mor,5.700000000000001e-4,4.900000000000001e-4,6.500000000000001e-4,All,1136264583,4.0816326530612245e-5,46378.14624489796
2005,India,Inc,0.0032900000000000004,0.00118,0.0064600000000000005,All,1154638713,0.001346938775510204,1555227.654244898
2005,India,Mor,5.5e-4,4.8000000000000007e-4,6.3e-4,All,1154638713,3.826530612244897e-5,44182.6038137755
2006,India,Inc,0.0032300000000000002,0.00118,0.0062900000000000005,All,1172373788,0.0013035714285714287,1528272.9736428573
2006,India,Mor,5.300000000000001e-4,4.6e-4,6.100000000000001e-4,All,1172373788,3.8265306122449e-5,44861.241887755124
2007,India,Inc,0.00316,0.00119,0.00608,All,1189691810,0.0012474489795918369,1484079.8344132653
2007,India,Mor,5.300000000000001e-4,4.8000000000000007e-4,5.700000000000001e-4,All,1189691810,2.2959183673469393e-5,27314.35278061225
2008,India,Inc,0.0030900000000000003,0.0012000000000000001,0.00585,All,1206734806,0.0011862244897959183,1431458.3795663265
2008,India,Mor,4.900000000000001e-4,4.3000000000000004e-4,5.600000000000001e-4,All,1206734806,3.3163265306122456e-5,40019.26652551021
2009,India,Inc,0.003,0.0012000000000000001,0.005620000000000001,All,1223640160,0.0011275510204081633,1379716.7110204082
2009,India,Mor,4.7000000000000004e-4,4.2e-4,5.300000000000001e-4,All,1223640160,2.806122448979594e-5,34336.84122448982
2010,India,Inc,0.0029200000000000003,0.0012100000000000001,0.00538,All,1240613620,0.0010637755102040818,1319734.3865816328
2010,India,Mor,4.4e-4,3.9000000000000005e-4,5e-4,All,1240613620,2.8061224489795908e-5,34813.13729591836
2011,India,Inc,0.00284,0.0012100000000000001,0.0051600000000000005,All,1257621191,0.00100765306122449,1267245.842971939
2011,India,Mor,4.3000000000000004e-4,3.8e-4,4.8000000000000007e-4,All,1257621191,2.5510204081632664e-5,32082.17323979593
2012,India,Inc,0.0027700000000000003,0.0012100000000000001,0.00496,All,1274487214,9.566326530612245e-4,1219216.0848214286
2012,India,Mor,4.2e-4,3.7000000000000005e-4,4.7000000000000004e-4,All,1274487214,2.551020408163265e-5,32512.428928571426
2013,India,Inc,0.0027,0.0012100000000000001,0.004770000000000001,All,1291132063,9.081632653061226e-4,1172558.7102755103
2013,India,Mor,4e-4,3.8e-4,4.3000000000000004e-4,All,1291132063,1.2755102040816332e-5,16468.5212117347
2014,India,Inc,0.0026300000000000004,0.0014600000000000001,0.0041400000000000005,All,1307246509,6.836734693877551e-4,893729.7561530612
2014,India,Mor,3.7000000000000005e-4,3.5000000000000005e-4,4e-4,All,1307246509,1.2755102040816319e-5,16674.06261479591
2015,India,Inc,0.00256,0.00151,0.00387,All,1322866505,6.020408163265307e-4,796419.6305612245
2015,India,Mor,3.6e-4,3.4e-4,3.8e-4,All,1322866505,1.0204081632653061e-5,13498.63780612245
