State,prv0_m,prv0_l,prv0_u,adr_m,adr_l,adr_u,p_pub_m,p_pub_l,p_pub_u,p_ppm_m,p_ppm_l,p_ppm_u,r_sym_m,r_sym_l,r_sym_u,r_aware_m,r_aware_l,r_aware_u,r_acf_m,r_acf_l,r_acf_u,r_det_all_m,r_det_all_l,r_det_all_u,r_sc_m,r_sc_l,r_sc_u,txi_pri_m,txi_pri_l,txi_pri_u,ppv_pri_m,ppv_pri_l,ppv_pri_u,dur_pri_m,dur_pri_l,dur_pri_u,p_pri_on_pub_m,p_pri_on_pub_l,p_pri_on_pub_u,ra_m,ra_l,ra_u,rs_m,rs_l,rs_u,rc_m,rc_l,rc_u,r_det_m,r_det_l,r_det_u,a0_m,a0_l,a0_u,c0_m,c0_l,c0_u,pr_a_m,pr_a_l,pr_a_u,pr_s_m,pr_s_l,pr_s_u,pr_c_m,pr_c_l,pr_c_u,prv_a_m,prv_a_l,prv_a_u,prv_s_m,prv_s_l,prv_s_u,prv_c_m,prv_c_l,prv_c_u,prv_t_pub_m,prv_t_pub_l,prv_t_pub_u,prv_t_eu_m,prv_t_eu_l,prv_t_eu_u,prv_t_ei_m,prv_t_ei_l,prv_t_ei_u,prv_t_pri_m,prv_t_pri_l,prv_t_pri_u,tbps_pub_m,tbps_pub_l,tbps_pub_u,tbps_pri_m,tbps_pri_l,tbps_pri_u,drug_pri_m,drug_pri_l,drug_pri_u,det_pub_m,det_pub_l,det_pub_u,det_eng_m,det_eng_l,det_eng_u,det_pri_m,det_pri_l,det_pri_u,scale_dur_m,scale_dur_l,scale_dur_u,r_death_a_m,r_death_a_l,r_death_a_u,r_death_s_m,r_death_s_l,r_death_s_u,ppv_pub_m,ppv_pub_l,ppv_pub_u,ppv_eng_m,ppv_eng_l,ppv_eng_u,sens_acf_m,sens_acf_l,sens_acf_u,spec_acf_m,spec_acf_l,spec_acf_u,dur_pub_m,dur_pub_l,dur_pub_u
India,0.0018471355712293212,0.0017349447786594928,0.001966641223974799,0.047761974105117386,0.04715922980541076,0.04836718085455162,0.6764499174884859,0.6317157281635712,0.7114580962238741,0.8477123268369627,0.6898912523974944,0.9924155450649631,1.2310948131596144,1.1072316309882653,1.3674983217771168,3.556370920735487,3.0988700357175665,4.068525477896505,0.005441945502276587,0.005381987826927354,0.0054996960768704875,4.043723523399762,3.4673745054627596,4.696206447153509,0.19910153082776497,0.1049829859707301,0.2960106182918737,0.742464268933011,0.5110178293849436,0.9876678140193159,0.49687062575104973,0.13876257026682343,0.8339170798002133,1.0272136067899986,0.7143768813877615,1.4367800456758462,0.2860864522861487,0.18136738441556247,0.397518798493872,0.20182250357890325,0.10770504375229661,0.2987339427928525,0.32182250357890324,0.2277050437522966,0.4187339427928525,0.32182250357890324,0.2277050437522966,0.4187339427928525,4.420408276492969,3.7742499268134417,5.152730046304091,3.117607958055783,2.6919316370190796,3.6256923293073937,0.8276661550089409,0.6809992947446798,1.002043760778126,0.6298477401686897,0.6022125298103179,0.6582611851077628,0.20291876355131713,0.17967709891793662,0.2261358308834931,0.1672334962799932,0.14615501780435958,0.189347074435645,0.0011634462981175158,0.0010724459335097027,0.0012550807154623755,3.7480254185227505e-4,3.283713405959665e-4,4.235197184063793e-4,3.0888673125952155e-4,2.6682155877555294e-4,3.555062746953935e-4,5.372002591110158e-4,5.367761890332415e-4,5.376222286484088e-4,2.1460747644725016e-4,1.360570799946765e-4,2.980672851590808e-4,2.639343025426412e-4,1.6990851667296198e-4,3.6952515258858304e-4,9.876148159896778e-5,5.811531979449555e-6,1.9216309477993902e-4,5.372002591110158e-4,5.367761890332415e-4,5.376222286484088e-4,5.773032605888658e-4,5.0919507065611e-4,6.50988587371731e-4,3.6269578414161124e-4,3.2400171383957375e-4,4.0070451289128076e-4,0.6764499174884859,0.6317157281635712,0.7114580962238741,0.27227560256112227,0.25423169107325694,0.2863663933815502,0.05127447995039172,0.0021905280850044485,0.11421507478790284,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.5,0.5,0.5,0.995,0.995,0.995,0.5,0.5,0.5
Andhra_Pradesh,0.0015899658496460912,0.001150696887990254,0.0021058553073315415,0.06754620043832409,0.06447419736483653,0.07068619078347894,0.7141249440860779,0.6701849903905441,0.73052682974305,0.9243106731417526,0.7500117498850591,0.9975473017150664,1.6947307256313562,1.130254865188977,2.5111169137217804,3.9079188379639778,2.134820602337622,6.945145218667638,0.005423505481232426,0.005153785192904797,0.00567491024381333,5.120375225543057,2.6075319054257844,10.089082088572262,0.1985426081886087,0.10487433770035945,0.29557944689323234,0.7243324084139405,0.5100680405829875,0.9799325397695638,0.5532280533641867,0.155222519838595,0.8361484258199539,1.319724170548312,0.9218082264171977,1.4944608213471828,0.43630290677030387,0.20013386439815103,0.7043806210544826,0.2012543609292249,0.10757559997038282,0.2982841739623397,0.32125436092922494,0.22757559997038285,0.41828417396233974,0.32125436092922494,0.22757559997038285,0.41828417396233974,5.232991929996224,2.664452655781005,10.326058882579346,2.5649868642399047,1.2397170728051679,4.85876474123631,0.8121277564574019,0.29035672866990037,1.7752121039220836,0.5736079296669873,0.4333257470937296,0.710013176043545,0.2445593319230508,0.13555200181676963,0.3735146309226331,0.18183273840996195,0.08612554241970372,0.30054193520015193,9.124662361224052e-4,5.96232524038738e-4,0.0013048162921833748,3.888956669510298e-4,2.0082945030993574e-4,6.473152394611905e-4,2.8860394657264396e-4,1.307142158985315e-4,5.04486203118106e-4,5.896926820239542e-4,5.873885114520761e-4,5.919721867779805e-4,3.4724291612109814e-4,1.5913930376010876e-4,5.59869434760479e-4,1.6005622941834324e-4,9.12474438469495e-5,2.144915002796985e-4,2.7689716725734127e-5,9.10624169906948e-7,9.192863637452471e-5,5.896926820239542e-4,5.873885114520761e-4,5.919721867779805e-4,5.349888622651797e-4,3.77219601049734e-4,7.391711636555632e-4,1.8774594614407716e-4,1.40314732228044e-4,2.3377244419005625e-4,0.7141249440860779,0.6701849903905441,0.73052682974305,0.2631335917428794,0.24699551362788535,0.2696052253681959,0.02274146417104277,6.601250005279413e-4,0.08244906105236792,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.5,0.5,0.5,0.995,0.995,0.995,0.5,0.5,0.5
Arunachal_Pradesh,0.0023010030809691483,0.00164546055294236,0.0030952679142540653,0.09360746675691647,0.08171168312295342,0.09979428127645111,0.9281653125213798,0.8051969782669199,0.9902246322983613,0.12419701365761694,0.02008259307108546,0.5114102461036985,1.336201248235583,0.8596366819712612,2.0412130575033203,3.9596633662040728,1.9272578478193039,8.092906481847475,0.005591706685134503,0.004818918975032171,0.00648156463922881,3.682201516218105,1.8340263289070555,7.276081632785861,0.19833532811542323,0.10409122973879863,0.2950538709756205,0.7493522445227523,0.5126205997652755,0.9864848524115096,0.47495880524746203,0.12378366353789058,0.8289666222919391,0.7645697541905593,0.08979924886090741,1.4639112434977009,0.2995659910434762,0.02943892398209615,0.7102098120056607,0.20113118145799047,0.10699237094867732,0.29783354390968614,0.32113118145799047,0.2269923709486773,0.41783354390968613,0.32113118145799047,0.2269923709486773,0.41783354390968613,3.9762393812831007,1.9616897541220417,7.872160786028581,3.299945824505918,1.4063502300296462,7.322137081977212,1.1384057906035663,0.3747485800255411,2.7024160011698055,0.5911135353587089,0.4380156814335013,0.7397973031717519,0.20422055350831608,0.09506635146473232,0.3352100840913457,0.20466591113297503,0.09811947733611646,0.3359656837174203,0.0013601200000675619,8.69191103431744e-4,0.0019846191902951663,4.7010100695505573e-4,2.023241168587675e-4,8.379416041919867e-4,4.707820739465213e-4,2.0779644415524673e-4,8.221217428910435e-4,9.035883963200934e-4,8.870332757313625e-4,9.200505549922853e-4,4.609389098096182e-6,4.428307460785191e-7,1.132592169794666e-5,1.2604885683573197e-5,2.086212070929671e-6,6.262822521528504e-5,2.0903649339483457e-4,1.3502014279822224e-4,2.7744436095376276e-4,9.035883963200934e-4,8.870332757313625e-4,9.200505549922853e-4,2.2625076817650398e-4,1.60404920837646e-4,2.9189539057380975e-4,2.2164137907840773e-4,1.547547078868195e-4,2.869906112201915e-4,0.9281653125213798,0.8051969782669199,0.9902246322983613,0.004721300043101405,0.0034789893669166768,0.006092382553902833,0.06711338743551883,0.0047142501671656335,0.1907318741555792,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.5,0.5,0.5,0.995,0.995,0.995,0.5,0.5,0.5
Assam,0.0027610360640382367,0.0020147599042151217,0.0036253444086566723,0.08061316460506103,0.07633956881981464,0.08487792624930687,0.77451595426504,0.6553354862128127,0.8430830094869296,0.6567787193858977,0.3424380736070281,0.9678004159239602,0.7860550062875058,0.5011387823580147,1.2134122335529887,2.2000763219314816,1.0662837859019547,4.615869008382595,0.0012282171927318808,0.0011211881972897112,0.0013383449417625139,1.9771910317352404,0.9471397692577315,4.088069552971739,0.1992612315817632,0.10533577676178002,0.2944694124349806,0.7368746202852755,0.513781904727356,0.986551368079595,0.5271822143536549,0.14055322180630497,0.8309789845427803,0.9844617918189771,0.4392895025357176,1.473471517220506,0.2230716234121442,0.018131508175453576,0.5964473165141869,0.19987534017812914,0.10597920097540937,0.29506012800221243,0.31987534017812913,0.22597920097540938,0.4150601280022125,0.31987534017812913,0.22597920097540938,0.4150601280022125,2.1804522153717896,1.0415010063726657,4.520271061171297,3.302470908874212,1.3699544472851228,7.319028898517072,1.1251696883165359,0.35830093375993133,2.79328646240242,0.5923886363589753,0.4310344071263361,0.739350295820795,0.2056938267390567,0.09228984092327047,0.3431750965451852,0.201917536901968,0.09306097801900454,0.3424250582067164,0.0016356652028637455,0.0010579702215783716,0.0023320676061649834,5.673173826636925e-4,2.4108537905911473e-4,9.995038582977232e-4,5.580534785107902e-4,2.3582691969182675e-4,0.001010415894097073,4.810145770631841e-4,4.7853009436333574e-4,4.8357597648190074e-4,5.796101560725037e-5,4.692872308945788e-6,1.5463148221200803e-4,1.0945477164561935e-4,4.527018564487863e-5,2.145537350226915e-4,1.1310070045078479e-4,1.2329829309544715e-5,2.0466617307323204e-4,4.810145770631841e-4,4.7853009436333574e-4,4.8357597648190074e-4,2.8051648770365586e-4,1.9320767925425425e-4,3.9339260744882735e-4,2.225554720964046e-4,1.59332781888012e-4,2.897667061529173e-4,0.77451595426504,0.6553354862128127,0.8430830094869296,0.13939660817538127,0.11776809588719499,0.1519229566155153,0.08608743755957864,0.005052076256598464,0.22663116851005846,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.5,0.5,0.5,0.995,0.995,0.995,0.5,0.5,0.5
Bihar,0.0027892660319359906,0.002175524176132085,0.00347799144416454,4.841191652874985e-5,1.2943330151286497e-6,1.8051701634237065e-4,0.45266573506079444,0.3371142189854905,0.5423085126096248,0.6825978134989027,0.41025809537833563,0.9567713690599996,0.7700021411208492,0.527781699529449,1.119892667089636,1.4172920674373926,0.842964914833041,2.3105195498517186,0.0017593083958805183,0.0016619847792133842,0.001861579402991134,2.693204716031313,1.3474150240131917,5.2606219196682975,0.20078148151422637,0.10561795768474239,0.2944513979976599,0.7394825031121229,0.5113987723709545,0.9846844108914037,0.5077309321535568,0.13704887065134225,0.8339073853432402,0.8878036275999699,0.22781949658788692,1.4642491559280904,0.8383709138368607,0.6616990858513506,0.9604980997167343,0.20166113571216662,0.10649991302288145,0.2953581989251182,0.3216611357121666,0.22649991302288144,0.41535819892511827,0.3216611357121666,0.22649991302288144,0.41535819892511827,3.023442131729459,1.486777365490316,6.046572917558661,2.3456489395151747,1.299102917585767,4.002905234723166,0.5189593539554264,0.21063787324212221,1.0323246942204036,0.5974357326410653,0.4757287952735062,0.7111963204940682,0.2699095325739077,0.17062818088652762,0.38427348676023504,0.13265473478502696,0.06525946689549857,0.22194297372771823,0.001666683527231992,0.0011959311652125386,0.0022228925699566593,7.526076399179183e-4,4.5233994024880574e-4,0.0011391258630919032,3.699748647860716e-4,1.695546835713875e-4,6.438670569228268e-4,2.4070768168666463e-4,2.3977240412512626e-4,2.41641451120082e-4,6.906908761568624e-4,5.449659089393206e-4,7.914971496346923e-4,9.342846342900882e-5,1.6521090379338413e-5,2.9967412644313585e-4,3.0323253633156083e-4,1.0166473418044e-4,4.187671483048335e-4,2.4070768168666463e-4,2.3977240412512626e-4,2.41641451120082e-4,0.001087351875917442,9.319102188124552e-4,0.0012157894956610308,3.96660999760571e-4,3.1637621242730176e-4,4.7859754939456477e-4,0.45266573506079444,0.3371142189854905,0.5423085126096248,0.3654752117917879,0.2718626742588317,0.4381027627407992,0.1818590531474177,0.019734067350112836,0.39071182966291546,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.5,0.5,0.5,0.995,0.995,0.995,0.5,0.5,0.5
Chandigarh,0.0022734965696221228,0.0014453413382579305,0.003225791079506885,0.097852463178562707,0.09260735258818902,0.09993525327330718,0.8776048322188603,0.8130396403597027,0.9138168600334047,0.6868191296752061,0.3981794975513114,0.966368012648887,1.413385369584271,0.8994323756739584,2.30679538412067,11.700294185852872,3.1781757054168915,36.78515448236504,0.0035995294627650235,0.002794047848083871,0.0045181096750530865,11.266495277784983,3.1681418821698983,36.26354690877669,0.19917977867943343,0.10393583254209145,0.29537335128744174,0.7302487080697863,0.5085351012913113,0.9859434730789665,0.544310178273156,0.15193393423534973,0.837963557550677,0.9787537813694415,0.378667302587033,1.4733109678116745,0.29725820349991167,0.02859042474973631,0.7079987417326004,0.20097954341081595,0.10576063816091243,0.2971093189400354,0.32097954341081597,0.2257606381609124,0.41710931894003545,0.32097954341081597,0.2257606381609124,0.41710931894003545,16.684264740789494,4.7092286518225555,53.15862152538968,9.032729523562567,2.113722464206559,30.24011167394722,1.4775205811172434,0.1695740211191821,5.958308923584038,0.7512342132788984,0.5623264914395701,0.8975056790427904,0.12564298744909969,0.028212843143367083,0.2871548554464611,0.12312279927200195,0.028852370245158958,0.2716053378229182,0.001708263459986623,9.950513753315517e-4,0.0025335928473494305,2.851454344190425e-4,6.099416875457511e-5,6.935040280261533e-4,2.800876752164489e-4,5.972857359638097e-5,6.74083938108646e-4,0.0012295890758994208,0.0012080695404484238,0.0012512336009244192,5.98888529810194e-5,5.764266346591412e-6,1.4332264559168426e-4,8.03017631582285e-5,2.4574347146184485e-5,1.9574976037623151e-4,1.5364328425859902e-4,3.233857156324804e-5,2.4472839546187423e-4,0.0012295890758994208,0.0012080695404484238,0.0012512336009244192,2.93833900397848e-4,2.0591256994927123e-4,3.968395718069847e-4,2.3394504741682795e-4,1.705208486910185e-4,3.00524908364724e-4,0.8776048322188603,0.8130396403597027,0.9138168600334047,0.08001261485663913,0.07295140089389231,0.0860467980964323,0.04238255292450055,0.002817313805731332,0.11270246044990105,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.5,0.5,0.5,0.995,0.995,0.995,0.5,0.5,0.5
Chhattisgarh,0.0020202758387928158,0.0014365514995864765,0.002719301683394473,0.09988577706587524,0.0995770719751604,0.0999967021352693,0.6852507338990992,0.6177686701743107,0.7158083444086709,0.8679814735630936,0.6377470935720899,0.9937082181977774,0.6572695183616784,0.457962147469512,0.9339352243796052,5.536848616593223,2.1210248711407966,13.739200330623481,0.005952732709830037,0.005566499481184306,0.006326046012272228,10.866428022908766,2.9394051775777355,33.849214746669105,0.19989801061868795,0.10516932444758635,0.29410032596444724,0.7223998671167263,0.5084369894271202,0.9846361356252638,0.5593831843447367,0.15763803580480393,0.8378037659023062,1.2588343992346591,0.8551950158968251,1.4893164818848108,0.2360596333825879,0.025014168738263277,0.5960663296935711,0.202874376973603,0.10813567887954668,0.29705316353162536,0.322874376973603,0.22813567887954667,0.41705316353162536,0.322874376973603,0.22813567887954667,0.41705316353162536,11.736554335800694,3.1609282894779502,36.52376306533124,9.138784806574979,3.2679489146020986,23.25340016642107,0.7432163135550658,0.11123245714834538,2.465904526456388,0.82049130630355,0.6917483815967292,0.9172807299978961,0.11270997962280886,0.03866372013764765,0.22144277229561676,0.06679871407364113,0.014978339264836021,0.15882909958093885,0.0016583085441737688,0.0011365929822194662,0.002298916529641596,2.2703559876434407e-4,7.319505357105785e-5,4.6781260556597054e-4,1.3493169585469613e-4,2.8884191409481333e-5,3.3478407196118e-4,4.5514426301358454e-4,4.525022463218383e-4,4.5780426288292e-4,1.248505263961229e-4,1.316255943938407e-5,3.155296941230515e-4,1.492711339044686e-4,8.455737959275226e-5,2.0860858677443128e-4,4.1376035913342055e-5,2.0426051712446997e-6,1.1471927941775426e-4,4.5514426301358454e-4,4.525022463218383e-4,4.5780426288292e-4,3.154976962139361e-4,2.0210302332061752e-4,4.985999848655228e-4,1.9064716981781064e-4,1.4140032445418202e-4,2.4403114435677978e-4,0.6852507338990992,0.6177686701743107,0.7158083444086709,0.2705641672417551,0.24405440014675975,0.28305925646298363,0.04418509885914577,0.0017974215364837411,0.13840469303827785,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.5,0.5,0.5,0.995,0.995,0.995,0.5,0.5,0.5
Delhi,0.0038881679700152366,0.0026468090059239336,0.005389062424659351,0.024942827719010872,0.022101770936960384,0.027783427807442498,0.6624409908689082,0.5268145609339383,0.7371324563242323,0.7138591599851369,0.38927996356001265,0.9819641810790578,1.5075357484821683,0.9499283170687971,2.398465692666472,5.179163133959825,2.293206679022286,11.476660969469544,0.0031895769899479742,0.002841440934839824,0.0035359146849628675,7.4195000127014765,2.8293559162103707,18.258946179341798,0.19876743241453662,0.1043682700229966,0.29486207217549737,0.7322681465467359,0.5089104482213515,0.983178548603064,0.5119200443344873,0.13447182992995077,0.8333070410682534,0.9241443787985999,0.4253791054921806,1.4653665153002828,0.1427798440320137,0.011551398104725462,0.4171824740860156,0.2003622209095106,0.10600187036151648,0.29641775993549313,0.3203622209095106,0.22600187036151648,0.4164177599354932,0.3203622209095106,0.22600187036151648,0.4164177599354932,10.146510163448088,3.885231744859647,24.952296546913246,3.8284606919582975,1.5221609905295528,8.909790143306026,0.8250031689496669,0.1972604882256257,2.1647382995043287,0.6575298769506602,0.49555704801308087,0.80121110940375,0.20030808891017715,0.08666565047339107,0.344330580865298,0.14216203413916262,0.048821161546089106,0.2690549742604587,0.002555568007023494,0.0015847246320055434,0.003738644079142492,7.795236508372034e-4,3.042435723749413e-4,0.0014902517466626383,5.530763121545313e-4,1.793128365163185e-4,0.0011500126173821278,0.0013901917138384545,0.0013851193936524665,0.001395437656231978,2.0029896329178473e-4,1.6272623237976956e-5,5.847741416379396e-4,7.308543381209538e-4,3.4229933132372194e-4,0.001405057616457548,6.92442937411641e-4,6.149308277095242e-5,0.0012774575601756056,0.0013901917138384545,0.0013851193936524665,0.001395437656231978,0.0016235962388243899,0.0011458087857030828,0.0021595308775255533,0.0014232972755326017,0.0010057019203710091,0.0018359451722585538,0.6624409908689082,0.5268145609339383,0.7371324563242323,0.2317904057105503,0.1843563897403297,0.25794062048919497,0.10576860342054158,0.0047466898037157885,0.28892866416728985,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.5,0.5,0.5,0.995,0.995,0.995,0.5,0.5,0.5
Gujarat,0.0012759044994747552,8.493559055627035e-4,0.0017360193781416865,0.0630265348567194,0.06076077536584884,0.06528692632712066,0.645179879284413,0.6082719966725509,0.6586683596417602,0.9433159077839897,0.8043509281298372,0.9981644524789358,1.877864256819856,1.2534947259325127,2.841272962152718,19.210485811130955,5.18591535046466,62.25574941661435,0.007397457266578601,0.007072021791261778,0.007724144469243449,12.42301908953844,4.34698203253992,31.827965515280763,0.19954389718868615,0.10484129046275226,0.29595299035162564,0.7225429458187238,0.5079690229011524,0.9845355308560252,0.5686360738064351,0.16451250868837078,0.8376524068341397,1.3988613563350976,1.1788656387700287,1.4967950804506898,0.16204209463828612,0.017918355215373816,0.37455558322330523,0.20324262582197544,0.10846012405203327,0.2996966382162989,0.32324262582197544,0.22846012405203325,0.4196966382162989,0.32324262582197544,0.22846012405203325,0.4196966382162989,13.015180320306644,4.5545638760552585,33.2629275560349,10.914717878412675,2.6234964474874185,37.700946481661575,1.978604887977524,0.2879435296162323,7.567602320486215,0.7587688302836741,0.5909539630728974,0.8921494742412153,0.1044041199749585,0.022138082392646807,0.2425303407338862,0.13682704974136733,0.04312495735381236,0.27732199069543123,9.682807186530541e-4,6.134625653880831e-4,0.0013853425568777788,1.3312514203623943e-4,2.7640993151464188e-5,3.268599029805552e-4,1.7449863878545328e-4,5.2605031017921333e-5,3.8027472319260975e-4,6.727996325192018e-4,6.706969382068552e-4,6.748663302426645e-4,2.0709607219375286e-4,2.2899727946374043e-5,4.780211384999758e-4,3.608590321869456e-4,2.78734231775036e-4,4.3270088615159205e-4,2.9777510691962666e-5,1.0630277637748743e-6,1.0003302067020575e-4,6.727996325192018e-4,6.706969382068552e-4,6.748663302426645e-4,5.977326150726649e-4,4.4437176477708947e-4,8.348156001353266e-4,3.906365428789084e-4,3.1164250683761126e-4,4.6616422049086296e-4,0.645179879284413,0.6082719966725509,0.6586683596417602,0.33399035943923805,0.3149892545053697,0.3411307086729033,0.020829761276348908,6.277005091914098e-4,0.07663612455505203,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.5,0.5,0.5,0.995,0.995,0.995,0.5,0.5,0.5
Haryana,0.004027473522931113,0.00244964598457587,0.005988794857270262,0.015534700817661394,0.012039214072704913,0.01895493689050288,0.6777486657576992,0.6143632109085403,0.7054002115058811,0.881941621751777,0.6619141342262554,0.9957264344372109,0.9655658967727206,0.5504072540948052,1.6978755388768956,2.123540973970458,0.9410287761510361,4.6344491603577005,0.0031937477001093236,0.002792920509685153,0.003596206482560802,10.378954341936101,1.8350269658208562,45.39887894940463,0.19847184620976482,0.10522333836224043,0.294951317376379,0.7298931674530039,0.5106820757127822,0.9833097958453081,0.5579593169917232,0.1675118596035724,0.8360474838485026,1.2561158341820844,0.8223182364584966,1.491846399479866,0.24051951411777064,0.028797040220762356,0.5873359584801087,0.2000687200598195,0.10676518806927847,0.2965062958787573,0.3200687200598195,0.22676518806927848,0.41650629587875737,0.3200687200598195,0.22676518806927848,0.41650629587875737,11.547488452052662,2.0449654607708614,50.19641885121734,2.7577344087893496,0.9819263515125314,6.613985952434907,0.38734046374817593,0.036782208897202455,1.299501309721113,0.6371105389713738,0.4369785705592321,0.814697110463524,0.27301007060413346,0.11814519277237592,0.464068166840334,0.08987939042449278,0.010514025639045849,0.22766492063918997,0.0025657321603251575,0.0013659234749918009,0.00410776354348237,0.0010991079650282552,4.21404552963221e-4,0.002101987619551687,3.6263339757769414e-4,4.085966822793573e-5,9.981754941647519e-4,7.778912084302652e-4,7.743540019874431e-4,7.81292723431223e-4,2.8027643253129744e-4,3.3448944570591654e-5,6.814061831890751e-4,3.515790979119218e-4,2.041901407830385e-4,4.76710715453945e-4,8.443406143542849e-5,3.182029128888452e-6,2.3966470110424131e-4,7.778912084302652e-4,7.743540019874431e-4,7.81292723431223e-4,7.162895918786535e-4,4.6826801576499276e-4,0.001109694978940649,4.360131593473518e-4,3.321713974803218e-4,5.482655551021332e-4,0.6777486657576992,0.6143632109085403,0.7054002115058811,0.2819740856638043,0.2554403805634483,0.293720816549051,0.04027724857849647,0.001258036344380403,0.13022042552607827,1,1,1,0,0,0,0.12,0.12,0.12,0.85,0.85,0.85,0.85,0.85,0.85,0.5,0.5,0.5,0.995,0.995,0.995,0.5,0.5,0.5
